name,senate.gov.ph page,fb_likes,note
Benigno Aquino III,http://president.gov.ph/,4165148,verified page
Jejomar Binay,http://www.ovp.gov.ph/,1293593,verified page
Franklin Drilon,Franklin M. Drilon,75825,not verified
Juan Ponce Enrile,Juan Ponce Enrile,200272,not verified
Ralph Recto,Ralph G. Recto,,can't find fb account
Alan Peter Cayetano,Alan Peter Compa?ero S. Cayetano,550418,verified page
Sonny Angara,Juan Edgardo ?Sonny? M. Angara,182297,not verified
Bam Aquino,"Paolo Benigno ""Bam"" Aquino IV",209595,not verified
Nancy Binay,Maria Lourdes Nancy S. Binay,9870,not verified
Pia Cayetano,Pia S. Cayetano,185459,not verified
Miriam Defensor Santiago,Miriam Defensor Santiago,2627665,verified account
JV Ejercito,Joseph Victor G. Ejercito,143105,not verified
Francis Escudero,"Francis Joseph ""Chiz"" G. Escudero",492947,not verified
Jinggoy Estrada,Jinggoy Ejercito Estrada,,can't find fb account
Teofisto Guingona III,"Teofisto ""TG"" L. Guingona III",15596,not verified
Gregorio Honasan,Gregorio B. Honasan II,,can't find fb account
Lito Lapid,"Manuel ""Lito"" M. Lapid",,can't find fb account
Loren Legarda,Loren B. Legarda,245240,not verified
"Ferdinand Marcos, Jr.","Ferdinand ""Bongbong"" R. Marcos, Jr.",123632,not verified
Sergio Osmena III,Sergio R. Osme?a III,,can't find fb account
Aquilino Pimentel III,Aquilino ?Koko? L. Pimentel III,144085,not verified
Grace Poe-Llamanzares,Grace L. Poe,243842,verified account
Bong Revilla,"Ramon ""Bong"" B. Revilla, Jr.",,can't find fb account
Tito Sotto,"Vicente ""Tito"" C. Sotto III",,can't find fb account
Antonio Trillanes IV,"Antonio ""Sonny"" F. Trillanes IV",407787,not verified
Cynthia Villar,Cynthia A. Villar,321552,not verified
