Rank,Candidate,,Votes,%
1,Bong Revilla,Lakas-Kampi,19513521,51.15%
2,Jinggoy Estrada,PMP,18925925,49.61%
3,Miriam Defensor Santiago,PRP,17344742,45.47%
4,Franklin Drilon,Liberal,15871117,41.60%
5,Juan Ponce Enrile,PMP,15665618,41.06%
6,Pia Cayetano,Nacionalista,13679511,35.86%
7,"Ferdinand Marcos, Jr.",Nacionalista,13169634,34.52%
8,Ralph Recto,Liberal,12436960,32.60%
9,Tito Sotto,NPC,11891711,31.17%
10,Sergio Osmena III,Independent,11656668,30.56%
11,Lito Lapid,Lakas-Kampi,11025805,28.90%
12,Teofisto Guingona III,Liberal,10277352,26.94%
