#,Candidate,Coalition,,Votes,%
1,Grace Poe-Llamanzares,Team Pnoy,Independent,20337327,50.66%
2,Loren Legarda,Team Pnoy,NPC,18661196,46.49%
3,Alan Peter Cayetano,Team Pnoy,Nacionalista,17580813,43.79%
4,Francis Escudero,Team Pnoy,Independent,17502358,43.60%
5,Nancy Binay,UNA,UNA,16812148,41.88%
6,Sonny Angara,Team PNoy,LDP,16005564,39.87%
7,Bam Aquino,Team PNoy,Liberal,15534465,38.70%
8,Aquilino Pimentel III,Team Pnoy,PDP-Laban,14725114,36.68%
9,Antonio Trillanes IV,Team PNoy,Nacionalista,14127722,35.19%
10,Cynthia Villar,Team Pnoy,Nacionalista,13822854,34.43%
11,JV Ejercito,UNA,UNA,13684736,34.09%
12,Gregorio Honasan,UNA,UNA,13211424,32.91%
