"","name","fb_page_likes","note","political_party","num_votes","percent_likes_to_votes","percent_likes_to_users"
"1","Benigno Aquino III",4165148,"verified page","Liberal",15208678,27.39,16.33
"2","Miriam Defensor Santiago",2627665,"verified account","PRP",17344742,15.15,10.3
"3","Jejomar Binay",1293593,"verified page","PDP-Laban",14645574,8.83,5.07
"4","Alan Peter Cayetano",550418,"verified page","Nacionalista",17580813,3.13,2.16
"5","Francis Escudero",492947,"not verified","Independent",17502358,2.82,1.93
"6","Antonio Trillanes IV",407787,"not verified","Nacionalista",14127722,2.89,1.6
"7","Cynthia Villar",321552,"not verified","Nacionalista",13822854,2.33,1.26
"8","Loren Legarda",245240,"not verified","NPC",18661196,1.31,0.96
"9","Grace Poe-Llamanzares",243842,"verified account","Independent",20337327,1.2,0.96
"10","Bam Aquino",209595,"not verified","Liberal",15534465,1.35,0.82
"11","Juan Ponce Enrile",200272,"not verified","PMP",15665618,1.28,0.79
"12","Pia Cayetano",185459,"not verified","Nacionalista",13679511,1.36,0.73
"13","Sonny Angara",182297,"not verified","LDP",16005564,1.14,0.71
"14","Aquilino Pimentel III",144085,"not verified","PDP-Laban",14725114,0.98,0.57
"15","JV Ejercito",143105,"not verified","UNA",13684736,1.05,0.56
"16","Ferdinand Marcos, Jr.",123632,"not verified","Nacionalista",13169634,0.94,0.48
"17","Franklin Drilon",75825,"not verified","Liberal",15871117,0.48,0.3
"18","Teofisto Guingona III",15596,"not verified","Liberal",10277352,0.15,0.06
"19","Nancy Binay",9870,"not verified","UNA",16812148,0.06,0.04
"20","Ralph Recto",NA,"can't find fb account","Liberal",12436960,NA,NA
"21","Jinggoy Estrada",NA,"can't find fb account","PMP",18925925,NA,NA
"22","Gregorio Honasan",NA,"can't find fb account","UNA",13211424,NA,NA
"23","Lito Lapid",NA,"can't find fb account","Lakas-Kampi",11025805,NA,NA
"24","Sergio Osmena III",NA,"can't find fb account","Independent",11656668,NA,NA
"25","Bong Revilla",NA,"can't find fb account","Lakas-Kampi",19513521,NA,NA
"26","Tito Sotto",NA,"can't find fb account","NPC",11891711,NA,NA
